Age,M,F
0-4,206364,194288
5-9,226686,213738
10-14,250186,239813
15-19,268459,256708
20-24,269946,269888
25-29,262895,270969
30-34,273726,287271
35-39,317603,336709
40-44,369490,395961
45-49,390119,420341
50-54,354227,389162
55-59,347025,390593
60-64,312566,359953
65-69,283965,337340
70-74,252905,314038
75-79,191058,260313
80-84,138848,213364
85-89,78522,145608
90-94,24416,60508
95-99,4648,14527
100+,380,1581
