Age,M,F
0-4,440380,418520
5-9,458893,434970
10-14,481729,455971
15-19,521581,494411
20-24,522344,498403
25-29,548471,528262
30-34,545558,531580
35-39,515169,505223
40-44,503787,501135
45-49,572540,573974
50-54,639652,634060
55-59,630637,619723
60-64,562407,562550
65-69,494644,509900
70-74,464156,488293
75-79,301906,337169
80-84,192588,245836
85-89,100680,161076
90-94,33241,73454
95-99,6310,20726
100+,471,2492
