Age,M,F
0-4,1087540,1026310
5-9,1274658,1201003
10-14,1237435,1166308
15-19,1021056,958718
20-24,1100799,1045248
25-29,1408741,1343703
30-34,1824887,1759947
35-39,1828869,1795255
40-44,1627017,1710174
45-49,1473562,1595651
50-54,1298962,1503996
55-59,1380075,1723704
60-64,1225646,1701998
65-69,999434,1612778
70-74,633399,1135678
75-79,376770,837583
80-84,319817,867345
85-89,103844,308353
90-94,36422,151726
95-99,3962,23467
100+,253,1666
