Age,M,F
0-4,967319,917595
5-9,973593,926364
10-14,1011282,963232
15-19,881682,852940
20-24,995319,970664
25-29,1263507,1202068
30-34,1470157,1355691
35-39,1646565,1532510
40-44,1502714,1455923
45-49,1291697,1285107
50-54,1110610,1127887
55-59,1128396,1196275
60-64,1280235,1445025
65-69,1094529,1354358
70-74,779602,1076251
75-79,399586,645087
80-84,299133,584927
85-89,165615,391930
90-94,61846,177355
95-99,13289,43716
100+,1207,3817
