Age,M,F
0-4,231280,220549
5-9,222436,210680
10-14,209997,199672
15-19,216791,208407
20-24,246246,237940
25-29,281460,274083
30-34,301576,295996
35-39,312034,309618
40-44,287248,283607
45-49,299517,296216
50-54,341873,334883
55-59,324282,319584
60-64,270397,265426
65-69,215755,225857
70-74,201943,219576
75-79,151943,178531
80-84,98229,130571
85-89,55737,89061
90-94,20518,46950
95-99,4075,12378
100+,310,1385
