Age,M,F
0-4,434626,413202
5-9,422770,400498
10-14,378840,358769
15-19,342690,324764
20-24,320121,303852
25-29,293130,279872
30-34,285404,279304
35-39,278739,278798
40-44,270334,273338
45-49,245995,250510
50-54,205483,212038
55-59,183531,194444
60-64,166086,183871
65-69,165565,188121
70-74,134423,154276
75-79,77168,93793
80-84,51897,72517
85-89,32673,51177
90-94,14093,26033
95-99,4091,7456
100+,457,791
