Age,M,F
0-4,4762826,4508865
5-9,4802236,4548680
10-14,4186103,3988159
15-19,3620950,3460825
20-24,3373933,3240763
25-29,4575841,4417248
30-34,6300711,6243120
35-39,5911074,6013650
40-44,5127944,5476691
45-49,4674805,5095877
50-54,3928987,4550664
55-59,4660894,5757121
60-64,4225282,5848341
65-69,3255893,5171853
70-74,1922538,3467843
75-79,937202,2222135
80-84,920439,2565340
85-89,318953,1070686
90-94,121860,546478
95-99,11041,91202
100+,787,8620
