Age,M,F
0-4,161560,152093
5-9,183869,174421
10-14,182055,174656
15-19,158874,153162
20-24,146666,143018
25-29,141198,136455
30-34,154931,156015
35-39,186925,198057
40-44,192610,202944
45-49,181919,185755
50-54,155399,156798
55-59,143132,145604
60-64,122993,126855
65-69,113389,117548
70-74,95764,101042
75-79,63883,69974
80-84,39656,48452
85-89,18940,26790
90-94,6086,12304
95-99,1378,3986
100+,122,518
