Age,M,F
0-4,482783,456823
5-9,496283,469158
10-14,555265,525496
15-19,511303,483242
20-24,522529,487348
25-29,562625,513761
30-34,729163,666993
35-39,613306,576438
40-44,773368,750129
45-49,762811,740160
50-54,761724,764424
55-59,505639,537371
60-64,596075,693885
65-69,548023,697965
70-74,385519,541939
75-79,232234,370577
80-84,183530,353460
85-89,93316,181296
90-94,31959,61734
95-99,5970,10895
100+,487,675
