Age,M,F
0-4,326341,307312
5-9,345558,323492
10-14,345591,325878
15-19,329234,311548
20-24,337762,319940
25-29,372158,356225
30-34,375267,370928
35-39,378626,379176
40-44,381481,370085
45-49,392495,374378
50-54,405226,390266
55-59,406323,396926
60-64,365223,370684
65-69,306534,327435
70-74,260160,295438
75-79,171437,212378
80-84,132264,188560
85-89,78407,138297
90-94,28401,66633
95-99,5548,18116
100+,299,1586
