Age,M,F
0-4,309240,292210
5-9,304038,288463
10-14,301140,284761
15-19,276950,264276
20-24,280047,263739
25-29,374455,358689
30-34,352981,339968
35-39,320963,306387
40-44,310337,298865
45-49,331865,323056
50-54,344973,334432
55-59,312494,304748
60-64,283735,283398
65-69,260421,266314
70-74,274804,289345
75-79,206281,223814
80-84,120133,149644
85-89,63024,98698
90-94,25178,51733
95-99,5450,15951
100+,438,1832
