Age,M,F
0-4,230364,217802
5-9,219996,206020
10-14,218795,205043
15-19,233504,218866
20-24,263261,245500
25-29,312066,294550
30-34,315827,304547
35-39,314619,308423
40-44,284438,281246
45-49,305305,307276
50-54,357250,356193
55-59,346838,346719
60-64,284670,297693
65-69,213955,237002
70-74,187337,219951
75-79,168533,214616
80-84,107116,153112
85-89,52214,90259
90-94,19835,47474
95-99,3562,13468
100+,206,949
