Age,M,F
0-4,3356730,3210418
5-9,3502739,3349383
10-14,3462103,3311135
15-19,3488963,3332948
20-24,3449266,3320753
25-29,3244671,3159473
30-34,3218521,3176459
35-39,3188251,3191500
40-44,2977206,3030868
45-49,2661822,2776683
50-54,2315977,2439491
55-59,1989447,2163508
60-64,1580771,1865429
65-69,1212619,1533573
70-74,861882,1108614
75-79,583891,799192
80-84,355837,521525
85-89,152903,300443
90-94,29563,95421
95-99,2829,14982
100+,134,1143
