Age,M,F
0-4,158372,150224
5-9,152596,144837
10-14,173333,163712
15-19,172736,166167
20-24,191772,182174
25-29,205131,196885
30-34,180830,174186
35-39,159302,157972
40-44,180646,180320
45-49,187736,189505
50-54,213909,207826
55-59,193555,194836
60-64,170579,175124
65-69,149766,159061
70-74,171655,179646
75-79,109011,125826
80-84,64083,83099
85-89,30300,47837
90-94,11510,24683
95-99,2322,7813
100+,217,1109
