Age,M,F
0-4,277400,270721
5-9,306942,288777
10-14,248915,236341
15-19,227984,215643
20-24,218608,206864
25-29,333729,318601
30-34,416816,397199
35-39,360742,355591
40-44,320970,331661
45-49,301557,331213
50-54,275420,316840
55-59,343489,410042
60-64,284767,380267
65-69,225597,352620
70-74,99113,170426
75-79,74958,181065
80-84,53989,164774
85-89,20708,80675
90-94,7044,34743
95-99,594,5527
100+,25,364
