Age,M,F
0-4,1197289,1127405
5-9,1374731,1295570
10-14,1470174,1387183
15-19,1484455,1391636
20-24,1526577,1415929
25-29,1625230,1535700
30-34,1702976,1662536
35-39,1824273,1808649
40-44,2092329,2096655
45-49,2401070,2431950
50-54,2420466,2487780
55-59,2274884,2384062
60-64,1903045,2050522
65-69,1679600,1851695
70-74,1586760,1805038
75-79,1182323,1454787
80-84,958360,1344033
85-89,504059,893202
90-94,186608,453131
95-99,39461,133178
100+,3055,13462
